PSR,P,DM,l,b,Pb,x,Dyear,Survey
J2355+0051,3.72,11.1,95.2,-59.0,11.751,8.893,2018,FAST-CRAFTS
J2319+20,3.4,22.1,95.5,-37.1,*,*,2019,FAST-CRAFTS
J2238-12,2.37,39.2,51.6,-55.4,*,*,2019,FAST-CRAFTS
J2230-03,5.11,10.3,65.6,-48.9,*,*,2019,FAST-CRAFTS
J2204+09,6.04,18.0,68.7,-35.7,*,*,2018,FAST-CRAFTS
J2032-12,5.79,22.9,32.3,-28.1,*,*,2019,FAST-CRAFTS
J2027+0255,10.6,51.1,47.1,-19.8,N/A,N/A,2019,FAST-CRAFTS
J2015+0756,4.33,36.4,50.1,-14.8,6.457,5.164,2019,FAST-CRAFTS
J2003-09,3.18,30.8,32.3,-20.2,*,*,2019,FAST-CRAFTS
J2001+0701,6.82,63.3,47.5,-12.2,5.227,2.230,2019,FAST-CRAFTS
J1934+09,4.66,72.4,45.9,-5.2,*,*,2019,FAST-CRAFTS
J1929+0132,6.42,53.5,38.7,-7.8,9.265,8.268,2018,FAST-CRAFTS
J1917+24,4.4,82.0,47.1,0.2,*,*,2019,FAST-CRAFTS
J1908+0128,4.7,75.1,36.2,-3.1,84.192,38.482,2019,FAST-CRAFTS
J1855-0756,3.43,48.7,26.3,-4.4,*,*,2019,FAST-CRAFTS
J1853-06,3.44,142.0,27.8,-3.1,*,*,2018,FAST-CRAFTS
J1826-00,4.59,42.6,29.3,5.3,*,*,2019,FAST-CRAFTS
J1824-0621,3.23,131.0,24.1,3.1,100.914,44.104,2019,FAST-CRAFTS
J1813-08,4.23,135.0,20.6,4.4,*,*,2019,FAST-CRAFTS
J1813-0402,4.11,71.3,25.0,6.5,10.560,9.426,2019,FAST-CRAFTS
J1811-0624,4.15,158.8,22.6,5.9,9.388,6.561,2019,FAST-CRAFTS
J1801-06,4.15,159.0,22.6,6.3,*,*,2018,FAST-CRAFTS
J1759-12,3.15,95.9,15.5,5.5,*,*,2019,FAST-CRAFTS
