#PSR           P     DM     Gl     Gb     year  Survey
#             (ms)  (pc/cc) (◦)    (◦)
J2355+0049    3.7    11.0   94.7   -58.9  2018  FAST-CRAFTS
J1929+0129    6.4    53.0   38.6   -7.7   2018  FAST-CRAFTS
J1720-0533    3.268  37.8   17.0   17.5   2018  FAST-CRAFTS
J1810-0615    4.146  159.0  22.6   6.3    2018  FAST-CRAFTS
J1853-0620    3.442  142.0  27.5   -3.2   2019  FAST-CRAFTS
J2016+0700    6.82   65.0   49.3   -15.2  2019  FAST-CRAFTS
J2204+0945    6.04   18.0   69.4   -35.2  2019  FAST-CRAFTS
J1437+3055    3.719  17.4   48.6   66.7   2019  FAST-CRAFTS
J0924+6102    5.983  21.8   153.6  41.7   2019  FAST-CRAFTS
J1759-1247    3.151  95.9   15.5   5.5    2019  FAST-CRAFTS
J2032-1253    5.788  22.9   32.3   -28.1  2019  FAST-CRAFTS
J2205+6014    2.416  157.8  103.6  3.8    2019  FAST-CRAFTS
J1912-1215    5.289  39.5   24.2   -10.1  2019  FAST-CRAFTS
J2238-1221    2.369  39.2   51.6   -55.5  2019  FAST-CRAFTS
J2003-0937    3.177  30.8   32.3   -20.2  2019  FAST-CRAFTS
J1852-1310    4.314  44.8   21.2   -6.1   2019  FAST-CRAFTS
J1813-0852    4.227  135.0  20.6   4.4    2019  FAST-CRAFTS
J1855-0756    3.427  48.7   26.3   -4.4   2019  FAST-CRAFTS
J1824-0622    3.234  131.1  24.1   3.2    2019  FAST-CRAFTS
J1813-0402    4.106  71.3   24.9   6.7    2019  FAST-CRAFTS
J2230-0336    5.106  10.3   61.6   -48.9  2019  FAST-CRAFTS
J1826-0049    4.59   42.6   29.3   5.3    2019  FAST-CRAFTS
J1908+0128    4.702  75.0   36.1   -3.0   2019  FAST-CRAFTS
J2027+0255    10.59  51.0   47.1   -19.7  2019  FAST-CRAFTS
J2016+0756    4.328  36.6   50.1   -14.8  2019  FAST-CRAFTS
J1934+0906    4.66   72.4   45.9   -5.2   2019  FAST-CRAFTS
J2319+2048    3.397  22.1   95.5   -37.1  2019  FAST-CRAFTS
J1917+2441    4.399  82.0   57.8   5.8    2020  FAST-CRAFTS
