#PSR      	  P           DM       Gl       Gb       Notes
#             (ms)     (pc/cc)     (◦)      (◦)
J0023+0923    3.0502   14.3216     111.383  -52.849  GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+13]
J0030+0451    4.86545  4.33294     113.141  -57.611  GRS:4FGL_J0030.4+0451[aab+22]
J0034-0534    1.87718  13.76517    111.492  -68.069  GRS:4FGL_J0034.3-0534[aab+22]
J0101-6422    2.57315  11.9210     301.192  -52.720  GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15]
J0102+4839    2.96     53.5        124.874  -14.167  GRS:4FGL_J0102.8+4839[aab+22]
J0125-2327    3.67586  9.5974      189.069  -81.541  *
J0154+1833    2.36457  19.7978     143.185  -41.810  *
J0203-0150    5.17332  19.2188     160.317  -59.365  *
J0218+4232    2.32309  61.252      139.508  -17.527  GRS:4FGL_J0218.1+4232[aab+22]
J0248+4230    2.60083  48.2634     144.877  -15.322  GRS:4FGL_J0248.6+4230[brj+21]
J0251+2606    2.54155  20.2166     153.881  -29.486  GRS:4FGL_J0251.0+2605[drc+21]
J0307+7443    3.16     6.35        131.704  14.223   GRS:4FGL_J0307.8+7443[aab+22]
J0312-0921    3.704    20.5        191.510  -52.378  GRS:4FGL_J0312.1-0921[aab+22]
J0318+0253    5.18985  25.98       178.457  -43.605  GRS:4FGL_J0318.2+0254[aab+22]
J0337+1715    2.73259  21.3162     169.990  -30.039  OPT:[rsa+14],XRS:[ska+16]
J0340+4130    3.29934  49.5865     153.783  -11.022  GRS:4FGL_J0340.3+4130[aab+22]
J0405+3347    16.5     53.300      163.260  -14.318  *
J0406+30      2.6      49.37       165.571  -16.338  *
J0418+6635    2.91     77.6        141.525  11.536   GRS:4FGL_J0418.9+6636[aab+22]
J0437-4715    5.75745  2.64476     253.394  -41.963  GRS:4FGL_J0437.2-4715[aab+22],OPT:[bbm+95]
J0506+50      3.39     43.4        157.896  5.803    GRS:4FGL_J0506.1+5028[aab+22]
J0509+0856    4.05584  38.3271     192.486  -17.931  *
J0533+6759    4.38816  57.369      144.780  18.183   GRS:4FGL_J0533.8+6800[aab+22]
J0557+1550    2.55637  102.5723    192.684  -4.309   *
J0605+3757    2.72795  20.9462     174.193  8.022    GRS:4FGL_J0605.1+3757[aab+22]
J0610-2100    3.86132  60.6722     227.747  -18.184  GRS:4FGL_J0610.2-2100[aab+22],OPT:[pmd+12]
J0613-0200    3.06184  38.7750     210.413  -9.305   GRS:4FGL_J0613.7-0201[aab+22]
J0614-3329    3.14867  37.05245    240.501  -21.827  GRS:4FGL_J0614.1-3329[aab+22]
J0621+2514    2.72179  83.633      187.120  5.073    GRS:4FGL_J0621.2+2512[aab+22]
J0636-3044    3.94576  15.4589     239.683  -16.344  *
J0636+5128    2.86895  11.108159   163.909  18.643   XRS:[ska+16],GRS:[sbc+19]
J0645+5158    8.8535   18.248350   163.963  20.251   XRS:[ska+16]
J0646-54      2.51     40.1        264.400  -22.600  GRS:4FGL_J0646.4-5455[aab+22]
J0653+4706    4.75     25.54       169.259  19.783   GRS:4FGL_J0652.9+4707[aab+22]
J0711-6830    5.49097  18.4096     279.531  -23.280  *
J0721-2038    15.5424  76.010      234.669  -2.922   *
J0732+2314    4.09     44.6724     195.931  19.035   *
J0740+6620    2.88574  14.96179    149.730  29.599   GRS:4FGL_J0741.0+6618[aab+22]
J0742+4110    3.13922  20.820      178.128  26.575   *
J0751+1807    3.47877  30.2409     202.730  21.086   GRS:4FGL_J0751.2+1808[aab+22]
J0824+0028    9.86135  34.5485     223.577  20.789   *
J0827+53      13.5     23.103      165.470  35.647   *
J0843+67      2.846    20.7        147.800  35.600   GRS:4FGL_J0843.3+6712[aab+22]
J0900-3144    11.1096  75.6862     256.162  9.486    *
J0921-5202    9.67981  122.4       273.776  -1.447   *
J0925+6103    5.98251  21.6442     153.506  41.833   *
J0931-1902    4.63803  41.4900     250.999  23.054   GRS:4FGL_J0931.2-1906[aab+22]
J0952-0607    1.4138   22.411533   243.652  35.380   GRS:4FGL_J0952.1-0607[aab+22],OPT:[bph+17]
