PSR                 P    DM
#                  (ms)  (pc/cc)
J0023−7204C    5.75678   24.5
J0024−7204D    5.35757   24.7
J0024−7205E    3.53633   24.2
J0024−7204F    2.62358   24.3
J0024−7204G    4.04038   24.4
J0024−7204H    3.21034   24.3
J0024−7204I    3.48499   24.4
J0023−7203J    2.10063   24.5
J0024−7204L    4.34617   24.3
J0023−7205M    3.67664   24.4
J0024−7204N    3.05395   24.5
J0024−7204O    2.64334   24.3
J0024−7204P    3.64302   24.3
J0024−7204Q    4.03318   24.2
J0024−7204R    3.48046   24.4
J0024−7204S    2.83041   24.3
J0024−7204T    7.58848   24.3
J0024−7203U    4.34283   24.3
J0024−7204V    4.81017   24.1
J0024−7204W    2.35234   24.3
J0024−7201X    4.77152   24.5
J0024−7204Y    2.19666   24.4
J0024−7205Z    4.55445   24.4
J0024−7205aa   3.69076   24.9
J0024−7204ab   3.70464   24.3
J0024−7204ac   2.74      24.4
J0024−7204ad   3.74      24.4
J0024−7204ae   3.87      24.3
J0024−7204af   2.9978    24.2
J0024−7204ag   9.76      24.4
J0024−7204ah   3.07      24.3
J0024−7204ai   13.02     24.4
J0024−7204aj   6.35      24.3
J0024−7204ak   3.52      23.9
J0024−7204al   2.67      24.1
J0103−7050A    4.969     25.2
J0103−7050B    2.245     25.6
J0103−7050C    7.354     25.0
J0103−7050D    3.438     24.6
J0103−7050G    4.45      24.6
J0103−7050H    7.96      24.8
J0103−7050I    2.78      24.7
J0103−7050J    5.83      24.5
J0103−7050K    2.67      24.5
J0103−7050L    2.46      25.0
J0514−4002A    4.99058   52.1
J0514−4002B    2.8163    52.0
J0514−4002C    5.5648    52.0
J0514−4002D    4.5542    52.2
J0514−4002E    5.5959    51.9
J0514−4002F    4.3294    51.6
J0514−4002G    3.8028    50.9
J0514−4002H    5.5061    52.2
J0514−4002J    6.6329    52.0
J0514−4002K    4.6920    51.9
J0514−4002L    2.9588    51.2
J0514−4002M    4.7978    51.6
J0514−4002N    5.5679    51.0
J0514−4002O    3.076     52.0
J1312+1810B    6.24226   25.9
J1312+1810C    12.53508  26.1
J1312+1810D    6.06974   24.6
J1312+1810E    3.97214   25.8
J1326−4728A    4.10879   100.2
J1326−4728B    4.79187   100.2
J1326−4728C    6.86786   100.6
J1326−4728D    4.57883   96.5
J1326−4728E    4.20772   94.3
J1326−4728F    2.273     98.2
J1326−4728G    3.304     99.6
J1326−4728H    2.5203    98.0
J1326−4728I    18.95     102.2
J1326−4728J    3.686     97.2
J1326−4728K    4.715     94.7
J1326−4728L    3.536     101.4
J1326−4728M    4.603     101.4
J1326−4728N    6.884     101.2
J1326−4728O    6.159     94.2
J1326−4728P    2.79      102.1
J1326−4728Q    4.130     95.9
J1326−4728R    10.29     102.1
J1342+2822A    2.54474   26.5
J1342+2822B    2.389     26.1
J1342+2822C    2.166     26.5
J1342+2822D    5.443     26.3
J1342+2822E    5.47      26.5
J1342+2822F    4.40      26.4
B1516+02A      5.55359   30.0
B1516+02B      7.94694   29.4
J1518+0204C    2.48393   29.3
J1518+0204D    2.988     29.3
J1518+0204E    3.182     29.3
J1518+0204F    2.65      29.4
J1518+0204G    2.75      29.4
J1546−3747A    2.60567   92.1
J1617−2258A    4.32      66.9
B1620−26       11.0758   62.8
B1639+36A      10.37750  30.4
B1639+36B      3.52807   29.4
J1641+3627C    3.72208   30.1
J1641+3627D    3.11829   30.4
J1641+3627E    2.48698   30.5
J1641+3627F    3.00350   30.3
J1647−0156A    2.36      42.5
J1647−0156B    2.76      42.7
J1657−0406A    4.73      43.9
J1657−0406B    7.35      43.3
J1701−3006A    5.24157   115.0
J1701−3006B    3.59385   113.4
J1701−3006C    7.61285   114.5
J1701−3006D    3.41777   114.2
J1701−3006E    3.23374   113.7
J1701−3006F    2.294727  113.2
J1701−3006G    4.60810   113.6
J1701−3006H    3.704     114.7
J1701−3006I    3.29      113.3
J1701−3006J    2.76      111.9
J1716−2808A    2.45      172.1
J1717+4308A    3.15972   35.4
J1721−1936B    2.56828   71.4
J1735−3028B    11.1366   380.5
J1735−3028C    6.03882   378.9
J1735−3028D    5.38637   380.1
J1735−3028E    3.07837   378.7
J1735−3028F    5.21377   382.0
J1735−3028G    3.91788   382.0
J1737−0314A    1.97998   82.1
J1737−0314B    8.52      81.0
J1737−0314C    8.46      80.0
J1737−0314D    2.89      78.8
J1737−0314E    2.28      80.4
J1740−5340A    3.65033   71.8
J1740−5340B    5.78697   72.2
J1748−2446A    11.5632   242.1
J1748−2446C    8.43610   237.1
J1748−2446D    4.71398   243.8
J1748−2446E    2.19780   236.8
J1748−2446F    5.54014   239.1
J1748−2446H    4.92589   238.1
J1748−2446I    9.57019   238.7
J1748−2446K    2.96965   234.8
J1748−2446L    2.24470   237.7
J1748−2446M    3.56957   238.6
J1748−2446N    8.66690   238.4
J1748−2446O    1.67663   236.3
J1748−2446P    1.72862   238.7
J1748−2446Q    2.812     234.5
J1748−2446R    5.02854   237.6
J1748−2446S    6.11664   236.2
J1748−2446T    7.08491   237.7
J1748−2446U    3.28914   235.4
J1748−2446V    2.07251   239.1
J1748−2446W    4.20518   239.1
J1748−2446X    2.99926   240.0
J1748−2446Y    2.04816   239.1
J1748−2446Z    2.46259   238.8
J1748−2446aa   5.78804   237.4
J1748−2446ab   5.11971   238.3
J1748−2446ac   5.08691   238.7
J1748−2446ad   1.39595   235.6
J1748−2446ae   3.65859   238.7
J1748−2446af   3.30434   237.3
J1748−2446ag   4.44803   237.7
J1748−2446ah   4.96515   237.7
J1748−2446aj   2.95891   238.6
J1748−2446ak   1.89010   236.7
J1748−2446al   5.95      236.5
J1748−2446am   2.93382   238.1
J1748−2446an   4.802     237.7
J1748−2446ao   2.27438   238.2
J1748−2446ap   3.744     239.7
J1748−2446aq   12.52     238.9
J1748−2446ar   1.95      238.7
J1748−2446as   2.32      238.3
J1748−2446at   2.18      239.4
J1748−2446au   4.54      238.1
J1748−2446av   1.84      238.9
